id,icao_code,iata_code,name,type,city_id,country_id,continent_id,website_url,created_at,updated_at,latitude_deg,longitude_deg,elevation_ft,wikipedia_link
415,VIAR,ATQ,Sri Guru Ram Dass Jee International Airport,medium_airport,1744,76,1,http://www.aai.aero/allAirports/amritsar_generalinfo.jsp,2024-06-27 0:00:00,2024-06-27 0:00:00,31.7096,74.797302,756,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport
416,GQPA,ATR,Atar International Airport,medium_airport,2932,111,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,20.5067997,-13.04319954,734,https://en.wikipedia.org/wiki/Atar_International_Airport
417,KATS,ATS,Artesia Municipal Airport,small_airport,2684,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,32.85250092,-104.4680023,3541,https://en.wikipedia.org/wiki/Artesia_Municipal_Airport
418,4A2,ATT,Atmautluak Airport,small_airport,48056,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,60.866699,-162.272996,17,https://en.wikipedia.org/wiki/Atmautluak_Airport
419,FTTI,ATV,Ati Airport,small_airport,2971,34,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,13.239778,18.315893,1089,https://en.wikipedia.org/wiki/Ati_Airport
420,KATW,ATW,Appleton International Airport,medium_airport,2311,188,4,http://atwairport.com/,2024-06-27 0:00:00,2024-06-27 0:00:00,44.258099,-88.519096,918,https://en.wikipedia.org/wiki/Outagamie_County_Regional_Airport
421,KZ-ATX,ATX,Atbasar Airport,small_airport,2940,87,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,51.852306,68.366892,1010,https://en.wikipedia.org/wiki/Atbasar_Airport
422,KATY,ATY,Watertown Regional Airport,medium_airport,45858,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,44.91400146,-97.15470123,1749,https://en.wikipedia.org/wiki/Watertown_Regional_Airport
423,HEAT,ATZ,Asyut International Airport,medium_airport,2914,51,2,,2024-06-27 0:00:00,2024-06-27 0:00:00,27.050818,31.016309,748,https://en.wikipedia.org/wiki/Assiut_Airport
424,TNCA,AUA,Queen Beatrix International Airport,large_airport,30698,204,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,12.5014,-70.015198,60,https://en.wikipedia.org/wiki/Queen_Beatrix_International_Airport
425,SKUC,AUC,Santiago Perez Airport,medium_airport,2445,37,5,,2024-06-27 0:00:00,2024-06-27 0:00:00,7.06888,-70.7369,420,https://en.wikipedia.org/wiki/Santiago_P%C3%A9rez_Airport
427,EG-AUE,AUE,Abu Rudeis Airport,small_airport,48057,51,1,,2024-06-27 0:00:00,2024-06-27 0:00:00,28.899694,33.202057,43,https://en.wikipedia.org/wiki/Abu_Rudeis_Airport
428,LFLA,AUF,Auxerre-Branches Airport,medium_airport,48058,60,3,https://www.auxerre.aeroport.fr/,2024-06-27 0:00:00,2024-06-27 0:00:00,47.850201,3.49711,523,https://en.wikipedia.org/wiki/Auxerre_%E2%80%93_Branches_Aerodrome
429,KAUG,AUG,Augusta State Airport,medium_airport,3052,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,44.3205986,-69.79730225,352,https://en.wikipedia.org/wiki/Augusta_State_Airport
430,OMAA,AUH,Abu Dhabi International Airport,large_airport,148,186,1,http://www.abudhabiairport.ae/,2024-06-27 0:00:00,2024-06-27 0:00:00,24.443764,54.651718,88,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport
431,AUI,AUI,Aua Island Airport,small_airport,48059,137,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-1.460555556,143.0647222,4,
432,AUJ,AUJ,Ambunti Airport,small_airport,48060,137,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,-4.215666667,142.8231667,50,
433,PAUK,AUK,Alakanuk Airport,small_airport,48061,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,62.682653,-164.722481,10,https://en.wikipedia.org/wiki/Alakanuk_Airport
434,MH-AUL,AUL,Aur Island Airport,small_airport,48062,110,6,,2024-06-27 0:00:00,2024-06-27 0:00:00,8.14528,171.173004,,https://en.wikipedia.org/wiki/Aur_Airport
435,KAUM,AUM,Austin Municipal Airport,small_airport,3095,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,43.66500092,-92.93340302,1234,https://en.wikipedia.org/wiki/Austin_Municipal_Airport
436,KAUN,AUN,Auburn Municipal Airport,small_airport,3029,188,4,,2024-06-27 0:00:00,2024-06-27 0:00:00,38.95479965,-121.0820007,1539,https://en.wikipedia.org/wiki/Auburn_Municipal_Airport
