id,name,alt_name,country_id,is_active,created_at,updated_at,lat,long
1460,Ambajogai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,18.73,76.38
1462,Ambala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,30.38,76.78
1463,Ambala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.65,79.05
1471,Ambalanur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.59,75.96
1479,Ambalavayal,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.619,76.2102
1484,Ambara,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.1902,78.6708
1493,Ambasamudram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,8.7037,77.4527
1525,Ambattur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.1143,80.1548
1526,Ambatturai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.2603,77.9303
1532,Ambhua,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,24.5568,87.8651
1533,Ambikapur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.12,83.2
1660,Amgachia,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.4156,88.3051
1661,Amha,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.0518,86.6906
1668,Amiawar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.0405,84.3096
1671,Amingaon,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.23,91.67
1672,Amingarh,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.0572,75.9489
1673,Aminpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.5241,78.3242
1680,Amjhar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.0641,84.5591
1681,Amjhera,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.5578,75.1185
1682,Amla,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,21.9248,78.1279
1685,Ammanabrolu,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.5802,80.1488
1687,Ammapettai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.7948,79.3199
1688,Ammapettai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.6197,77.7426
1689,Ammavarikuppam,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.1784,79.4169
1692,Ammur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.975,79.3628
1695,Amodei,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.8975,84.8182
1739,Amrabad,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.3833,78.8333
1740,Amravati,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,20.9258,77.7647
1741,Amreli,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,21.6006,71.2164
1744,Amritsar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.64,74.86
1745,Amroha,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,28.9044,78.4675
1746,Amsin,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.5733,82.4357
1751,Amta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.5834,88.0104
1752,Amtala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.1,91.39
1753,Amtala,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.3669,88.2777
1757,Amudalapalle,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,15.9301,80.6899
1758,Amudalavalasa,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,18.4167,83.9
1767,Amwa Majhar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,26.7362,84.5818
1794,Anaikal,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.6003,76.6846
1795,Anaiyur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,9.9615,78.1118
1798,Anakapalle,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,17.6913,83.0039
1799,Anakaputtur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,12.9823,80.1282
1811,Anamalais,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.583,76.9344
1816,Anand,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,22.556,72.951
1817,Anandapuram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,11.09,76.9422
1818,Anandnagar,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,27.1,83.2833
1819,Anandpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,21.2141,86.1249
1820,Anandpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,31.2393,76.5025
1821,Anandpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.6192,84.8673
1824,Ananipalle,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,13.4902,79.2895
1825,Anantapalle,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.9767,81.4442
1826,Anantapur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.68,77.599
1827,Anantarazupeta,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.0014,79.3319
1828,Anantasagaram,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.5833,79.4167
1829,Anantavur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.8925,75.9983
1830,Anantpur,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,16.889,75.0146
1841,Anavatti,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,14.5645,75.1523
1855,Andal,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,23.6,87.2
1861,Andanappettai,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,10.7498,79.8226
1880,Andhana,NULL,76,TRUE,2024-06-25 0:00:00,2024-06-25 0:00:00,25.2574,85.4548
